DOI
10.1109/ACCESS.2024.3380452
10.3390/buildings14072207
10.1145/3640314
10.1109/ISCSIC60498.2023.00046
10.1109/ICIEA58696.2023.10241843
10.1016/j.oceaneng.2022.113479
10.1016/j.jag.2023.103440
10.1177/20552076231203672
10.1109/WETICE57085.2023.10477802
10.1145/3600160.3605070
10.1109/ACCESS.2022.3172964
10.1007/978-3-031-32515-1_7
10.1007/978-3-031-14844-6_7
10.36680/j.itcon.2022.008
10.1145/3517189
10.1145/3478680
10.1016/j.compind.2022.103629
10.1145/3569219.3569376
10.1145/3511616.3513098
10.1145/3549555.3549594
10.1145/3502265
10.1109/ACCESS.2021.3064192
10.1109/ISSE51541.2021.9582526
10.1145/3419634
10.1145/3450287
10.1145/3477244.3477985
10.1080/14783363.2018.1434769
10.1109/IEEM45057.2020.9309745
10.1145/3388176.3388209
10.1145/3386164.3387296
10.1115/omae2019-95152
10.1109/SEsCPS.2019.00012
