,count
artificial_intelligence,25
case_study,41
cyber_physical,29
data_collection,20
data_driven,23
decision_making,30
decision_tree,29
deep_learning,16
digital_terrain,22
digital_twin,105
future_research,16
held_publication,21
internet_things,15
machine_learning,33
model_driven,19
neural_network,15
random_forest,15
study_aims,17
study_area,15
support_vector,20
systematic_review,22
